HAI_1_DOPC,HAI_1_ELIGCASES,HAI_1_NUMERATOR,HAI_1_SIR_Score,HAI_2_DOPC,HAI_2_ELIGCASES,HAI_2_NUMERATOR,HAI_2_SIR_Score,HAI_3_DOPC,HAI_3_ELIGCASES,HAI_3_NUMERATOR,HAI_3_SIR_Score,HAI_4_DOPC,HAI_4_ELIGCASES,HAI_4_NUMERATOR,HAI_4_SIR_Score,HAI_5_DOPC,HAI_5_ELIGCASES,HAI_5_NUMERATOR,HAI_5_SIR_Score,HAI_6_DOPC,HAI_6_ELIGCASES,HAI_6_NUMERATOR,HAI_6_SIR_Score,ZIP Code,H_CLEAN_LINEAR_SCORE,H_COMP_1_LINEAR_SCORE,H_COMP_2_LINEAR_SCORE,H_COMP_3_LINEAR_SCORE,H_COMP_5_LINEAR_SCORE,H_COMP_6_LINEAR_SCORE,H_COMP_7_LINEAR_SCORE,H_HSP_RATING_LINEAR_SCORE,H_QUIET_LINEAR_SCORE,H_RECMND_LINEAR_SCORE,SEP_1,SEP_SH_3HR,SEP_SH_6HR,SEV_SEP_3HR,SEV_SEP_6HR,HAI_1_SIR_ComparedToNational_encode,HAI_2_SIR_ComparedToNational_encode,HAI_3_SIR_ComparedToNational_encode,HAI_4_SIR_ComparedToNational_encode,HAI_5_SIR_ComparedToNational_encode,HAI_6_SIR_ComparedToNational_encode
18803.0,20.49,6.0,0.293,12340.0,17.833,5.0,0.28,238.0,6.37,2.0,0.314,334.0,2.733,1.0,0.366,151099.0,15.19,12.0,0.79,147998.0,91.863,59.0,0.642,85724,81.0,89.0,88.0,82.0,77.0,85.0,80.0,86.0,76.0,86.0,45.0,76.0,43.0,74.0,79.0,1.0,1.0,0.0,0.0,0.0,1.0
25876.0,28.983,5.0,0.173,20491.0,36.719,11.0,0.3,556.0,14.623,11.0,0.752,317.0,2.667,1.0,0.375,200669.0,14.02,3.0,0.214,193682.0,125.503,107.0,0.853,85202,79.0,89.0,86.0,81.0,76.0,86.0,79.0,86.0,77.0,86.0,34.0,73.0,,65.0,66.0,1.0,1.0,0.0,0.0,1.0,0.0
2125.0,1.601,0.0,0.0,2519.0,1.842,0.0,0.0,36.0,0.871,0.0,,1.0,0.005,0.0,,30595.0,1.536,0.0,0.0,30595.0,12.965,2.0,0.154,86403,80.0,89.0,89.0,80.0,72.0,84.0,77.0,84.0,77.0,81.0,80.0,99.0,,84.0,98.0,0.0,0.0,,,0.0,1.0
167.0,0.118,0.0,,425.0,0.25,0.0,,6.0,0.142,0.0,,5.0,0.031,0.0,,10005.0,0.243,0.0,,9198.0,3.767,4.0,1.062,86504,86.0,86.0,88.0,82.0,80.0,74.0,79.0,89.0,85.0,83.0,50.0,72.0,,90.0,69.0,,,,,,0.0
1109.0,0.866,0.0,,1309.0,0.982,0.0,,8.0,0.246,1.0,,1.0,0.005,0.0,,16254.0,0.393,0.0,,16254.0,5.062,9.0,1.778,86045,91.0,88.0,89.0,82.0,80.0,93.0,86.0,81.0,83.0,80.0,41.0,97.0,,74.0,43.0,,,,,,0.0
430.0,0.347,0.0,,651.0,0.559,2.0,,16.0,0.504,1.0,,32.0,0.289,2.0,,8656.0,0.185,0.0,,8656.0,2.21,3.0,1.357,85016,81.0,91.0,91.0,88.0,84.0,87.0,82.0,89.0,82.0,84.0,,,,,,,,,,,0.0
3949.0,2.745,0.0,0.0,4020.0,2.76,0.0,0.0,51.0,1.288,0.0,0.0,22.0,0.188,0.0,,19260.0,0.755,0.0,,19260.0,7.246,3.0,0.414,85032,87.0,89.0,89.0,83.0,77.0,85.0,79.0,85.0,80.0,83.0,60.0,86.0,67.0,79.0,90.0,0.0,0.0,0.0,,,0.0
6265.0,5.233,1.0,0.191,7583.0,6.616,3.0,0.453,205.0,5.082,1.0,0.197,174.0,1.304,3.0,2.301,54405.0,2.477,1.0,0.404,51510.0,33.181,13.0,0.392,85741,83.0,91.0,91.0,84.0,75.0,86.0,79.0,86.0,74.0,86.0,77.0,100.0,92.0,82.0,93.0,1.0,0.0,1.0,0.0,0.0,1.0
13363.0,13.832,10.0,0.723,10035.0,12.514,11.0,0.879,319.0,7.466,8.0,1.072,954.0,6.858,3.0,0.437,121368.0,5.825,3.0,0.515,103375.0,48.646,20.0,0.411,85260,87.0,92.0,91.0,84.0,76.0,84.0,82.0,89.0,81.0,90.0,64.0,91.0,62.0,79.0,89.0,0.0,0.0,0.0,0.0,0.0,1.0
6104.0,4.994,2.0,0.4,6805.0,5.84,0.0,0.0,216.0,5.431,3.0,0.552,264.0,2.119,3.0,1.416,76805.0,4.965,3.0,0.604,76805.0,57.326,29.0,0.506,85206,85.0,87.0,86.0,81.0,77.0,84.0,78.0,85.0,76.0,85.0,42.0,70.0,54.0,78.0,76.0,0.0,1.0,0.0,0.0,0.0,1.0
